report_number,title,incident_date,place   ,governorate,city/town,addess/description,description,categories,location,reporter_state,gender_harassed,age_harassed,age_reporter,age_harasser,intervention,incident_place_type,edu_harassed,edu_reporter,report_date_time
2026,"Mohandeseen, Giza",11/05/2016 13:00,", mohandeseen, Giza",Giza,Giza,Mohandeseen,I was sitting in the metro with my baby on my lap. A very young man next to me continuosly touched my leg and arm.,Touching,"30,013056,31,208853",Harassed person,Woman,,30-34,Under 18,No,Public transportation,,University/more than university,05/12/2016 9:13
2025,"Road 206, Maadi, Cairo",05/04/2016 15:00,"Road 206, Maadi, Cairo",Cairo,Cairo,"Road 206, Maadi","A guy kept calling me on my phone, telling me ""enti 7elwa"" and that he is not harassing me.",Phone calls,"29,964505,31,27177",Harassed person,Woman,,30-34,35-39,No,Home,,University/more than university,05/11/2016 13:16
2022,"النزهة, مصر الجديدة, القاهرة",04/04/2016 22:10,"النزهة, مصر الجديدة, القاهرة",القاهرة,القاهرة,"النزهة, مصر الجديدة,",8 عيال سنهم لا يتعدي 13 سنة زانقين 3 بنات في شارع جابني من شارع النزهة و بيرخموا عليهم الساعة 3 الظهر و محدش قالهم بتعملوا ايه حتي و كلهم طلبه مدارس,"Catcalls,Stalking or following,Threat,Mob sexual harassment","30,112315,31,343851",Witness,Man,Under 18,,Under 18,No,Street,,University/more than university,04/06/2016 20:14
2020,"ميكروباصات السيل . المحطة , شارع الشواربة , أسوان",04/02/2016 17:00,"ميكروباصات السيل . المحطة , شارع الشواربة , أسوان",أسوان,أسوان,"ميكروباصات السيل . المحطة , شارع الشواربة","لأول مرة أمسك متحرش كان قاعد جمبى فى الميكروباص النهاردة وكان بيتحرش بالبنت اللى قدامى ... ولأول مرة بردو الاقى نفسى بضرب حد بغباء للدرجة بس حسيت انى اديت رسالة لكل اللى ماشيين فى الشارع من متحرشين ان اى حد هيحاول يعمل زيه مصيره بردو هيبقى على نفس الشاكلة 
بس اللى شجعنى ان البنت اللى اتحرش بيها هية اول ماحست بأيده صرخت ولفت وضربته بالقلم ورغم ان فى الثوانى الاولانية ماكونتش مستوعب هوة عمل ايه لانه كان مدارى ايده بالجلابية اللى هوة لابسها لكن لما استوعبت نزلت فيه ضرب انا وكل اللى فى الشارع",Touching,"24,088938,32,899829",Witness,Woman,Under 18,,35-39,Yes,Public transportation,,University/more than university,04/02/2016 17:10
2016,"عمارة البواب عند موقف الميكروباص, منطقة بشتيل , الجيزة",03/02/2016 9:27,"عمارة البواب عند موقف الميكروباص, منطقة بشتيل , الجيزة",الجيزة,الجيزة,"عمارة البواب عند موقف الميكروباص, منطقة بشتيل , ",انا من سكان شارع  بشتيل بمنطقة المنيرة الغربية الجيزة حيث ارى جريمة التحرش الجنسى يوميا فى الصباح والمساء باللفظ واللمس مع بنات المدارس وخاصة منطقة عمارة البواب فهناك شباب يتراوح اعمارهم ما بين العشرين والخمسة والثلاثون عبارة عن بلطجية لدرجة ان اهالى المنطقة لا يقدرون على السيطرة عليهم نظرا لحملهم الاسلحة البيضاء فى العموم,"Ogling,Facial expressions,Comments,Stalking or following","30,085617,31,181989",Witness,Woman,18-24,,25-29,No,Street,,University/more than university,03/07/2016 7:29
2015,"Somewhere, Qalyubia",03/01/2016 15:23,", somewhere, Qalyubia",Qalyubia,,somewhere,something,"Ogling,Comments","30,329237,31,216847",Harassed person,Woman,,18-24,18-24,,Street,,Preparatory,03/01/2016 10:55
2014,"Kornish Tahrir st., dokki, Cairo",02/10/2016 12:16,"Kornish Tahrir st., dokki, Cairo",Giza,Giza,"Kornish Tahrir st., dokki",He said comment on my boobs and said a disgusting invitation of sex,Sexual invites,"30,044321,31,235294",Harassed person,Woman,,18-24,18-24,No,Street,,University/more than university,02/14/2016 10:19
2013,", شارع الصحافة, القاهرة",02/04/2016 13:34,", شارع الصحافة, القاهرة",القاهرة,القاهرة,شارع الصحافة,واحد سافل عدي جمبي و قاللي اللهم صلي علي النبي فقلتله في حلجة و زعقت قاللي انا بكلم ربنا انتي مالك ....دلوقتي الدين بقي بيستخدم في التحرش ?,Comments,"30,057893,31,237297",Harassed person,Woman,,18-24,40-45,No,Street,,University/more than university,02/11/2016 11:39
2012,"الكورنيش, العجوزة, الجيزة",02/09/2016 17:00,"الكورنيش, العجوزة, الجيزة",الجيزة,الجيزة,"الكورنيش, العجوزة",كنت خارجة من الشغل ومستنية تاكسي وواحد عدى بموتوسيكل وقال مزة وجري بسرعة.,Comments,"30,099236,31,22265",Harassed person,Woman,,25-29,40-45,No,Street,,University/more than university,02/11/2016 11:27
2011,"Mosadak, Dokki, Cairo",02/07/2016 17:00,"mosadak , dokki , Cairo",Giza,Giza,"mosadak, dokki",تعليقات ونظرات من 3 رجال مختلفين فى مسافه لا تتعدى 15 متر ولا علافه لهم ببعض,Comments,"30,039127,31,203729",Harassed person,Woman,,30-34,40-45,No,Street,,University/more than university,02/11/2016 11:04
2010,"Tahrir square, next to AUC campus, Downtown, Cairo",02/10/2016 16:00,"Tahrir square, next to AUC campus, Downtown, Cairo",Cairo,Cairo ,"Tahrir square, next to AUC campus, Downtown, ","I was walking with a friend on Tahrir square, close to the AUC and a guy passed me and said ""fuck you"".",Comments,"30,04442,31,235712",Harassed person,Woman,,30-34,35-39,No,Street,,University/more than university,02/11/2016 10:42
2009,"عزبه النخل, عزبه النخل, القاهرة",02/08/2016 9:43,"عزبه النخل, عزبه النخل, القاهرة",القاهرة,القاهرة,عزبه النخل,اسمي غاده  و عمرى 31سنه اثناء وجوداى الساعه العاشره مساء بتاريخ 8\2\2016 امام محطة مترو عزبة النخل قام امين شرطة بمباحث المرج حاولا التحروش بي وامسك اماكن حساسه في جسمي وقامه بتعدي علية وسرقتي تحت تهديد السلاح الميري الخاص به وقالة لي انا عوزيك و ادفع فلوس وتجي معايه البيت نسهر مع بعض  بمباحث المرج وكلوه عرفني وعند رفضي امام جميع الناس ولم يعترض احد من الماره لخوفهم منه و قام باخز شنطة يدي واخز منها مبلغ مالى و هوه الف و مائة و ثلاثون جنيه  و زهبت الى قسم شرطه المرج لعمل محضر لم يستجيب لى احد او يساعدني في عمل المحضر قمت بي الزهاب الى وزاره الداخليه لعمل شكوه  بيما حصل و تم تسجيل الشكوه  بتاريخ 9\2\2016 الساعه الواحده صباحا و لم يتم عمل شئ لحد الان ولم يتم التحقيق معه وكيف يؤتمن على ارواح الناس وهو رجل شرطه علبه حماية الناس ارجومن سيدتكم موساعدتي في اخز حقي و رقم تليفوني هوه,Touching,"30,140598,31,3258",Harassed person,Woman,,30-34,30-34,No,Street,,Secondary,02/11/2016 7:47
2008,"زهراء المعادى ,زهراء المعادى ,القاهرة",02/08/2015 11:02,"زهراء المعادى ,زهراء المعادى ,القاهرة",القاهرة,القاهرة,زهراء المعادى,وانا ماشيه فى الشارع لقيت عربية جت وقفت بعدى بشويه ولما قربت وانا ماشيه ببص من غير ماادى خوانا لقيت ولد فى العربية قالع من تحت وبيعمل حركات مقرفة بالعضو بتاعة,Indecent exposure,"29,961978,31,303188",Harassed person,Woman,Don't know,Over 45,35-39,No,Street,,University/more than university,02/08/2016 9:04
2007,"37 Street 206 ,Maadi ,Cairo",02/03/2016 14:00,"37 Street 206 ,Maadi ,Cairo",Cairo,Cairo,"37 Street 206 ,Maadi ",A car passed me and the guy in the drivers seat leered out the window and verbally harassed me.,"Ogling,Comments","29,960043,31,275718",Harassed person,Woman,30-34,30-34,25-29,No,Street,,University/more than university,02/08/2016 8:26
1996,"Elharam street ,Haram ,Giza",02/08/2015 8:00,"Elharam street ,Haram ,Giza",Giza,Giza,"Elharam street, Haram",I was just walking at 8 am morning going to my job as usual then two boys on motocycle the one who is not driving touched my hips strongly i screamed but they gone away no one even tried to follow them,Touching,"29,995654,31,165142",Harassed person,Woman,,18-24,25-29,No,Street,,University/more than university,02/04/2016 22:00
1995,"Gym ,tagamoa elawal ,Cairo",01/30/2015 13:26,"Balance Gym ,tagamoa elawal ,Cairo",Cairo,New Cairo,"Balance Gym, tagamoa elawal",My friend was attending a workshop at the gym and one of the trainers (who does not actually belong to the gym) slapped her ass.,Touching,"30,053643,31,430683",Witness,Woman,35-39,30-34,30-34,No,Other,University/more than university,University/more than university,02/02/2016 12:27
1994,"26 July ,Zemelek ,Cairo",02/02/2015 14:24,"26 July ,Zemelek ,Cairo",Cairo,Cairo,"26 July, Zemelek",Sexual harassment,"Facial expressions,Phone calls,Rape","30,060624,31,220617",Witness,Woman,18-24,35-39,18-24,No,Street,Don't know,University/more than university,02/02/2016 12:24
1991,"Madares Hadaba ,Hurghada ,Red Sea",01/26/2016 9:02,"Madares Hadaba ,Hurghada ,Red Sea",Red Sea,Hurghada,Madares Hadaba ,I was raped in my own flat,Rape,"27,189096,33,824952",Harassed person,Woman,,Over 45,40-45,No,Home,,University/more than university,01/30/2016 19:03
1990,"Hassan Assem ,zamalek ,Cairo",01/04/2016 23:00,"Hassan Assem ,zamalek ,Cairo",Cairo,Cairo,"Hassan Assem, zamalek","I and a female friend were walking down the street around 11 pm when a car passed us slowly. The male driver rolled down his window and said: ""I can smell your pussy"" (in English), and then drove off. There seemed to be more than one person in the car.",Comments,"30,06211,31,221064",Harassed person,Woman,,40-45,25-29,No,Street,,University/more than university,01/28/2016 18:53
